NAMA BAHAN,Air (g),Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (mg),Fosfor (mg),Besi (mg),Natrium (mg),Kalium (mg),Tembaga (mg),Seng (mg) ,Retinol (mcg),B-Kar (mcg),Kar-Total (mcg),Thiamin (mg),Riboflavin (mg),Niasin (mg),Vitamin C,BDD (%)
"Daun kesum, segar",84.8,48,4.5,0.8,9.1,1.6,0.8,125,142,2.6,11.0,174.7,0.4,1.2,0,4216,8715.0,0.01,0.1,1.6,4,53.0
"Daun kol sawi, segar",93.1,22,2.1,0.5,3.6,0.9,0.7,200,92,3.2,19.0,386.2,0.1,0.2,0,1806,2177.0,0.03,0.2,0.6,3,87.0
"Daun koro, segar",91.0,23,3.0,0.3,3.7,0.0,2.0,134,81,6.2,4.0,68.4,0.2,0.5,0,2386,5240.0,0.28,0.2,1.3,29,65.0
"Daun kubis, segar",86.2,51,2.5,1.1,8.0,3.4,2.2,100,50,3.4,50.0,100.0,0.9,0.6,0,9999,0.0,0.4,0.1,0.2,16,75.0
"Daun kumak, segar",95.2,14,1.3,0.3,2.3,0.9,0.9,90,59,2.7,2.0,36.5,0.1,0.3,0,1274,2961.0,0.01,0.0,0.5,3,78.0
"Daun leilem, segar",79.4,76,2.8,0.2,15.8,3.1,1.8,296,22,3.4,6.0,46.0,0.5,1.1,0,753,0.0,0.3,0.1,2.5,22,90.0
"Daun leunca, segar",85.0,49,4.7,0.5,8.1,0.0,1.7,210,80,6.1,0.0,0.0,0.0,0.0,0,0,1900.0,0.14,0.0,0.0,40,70.0
"Daun lobak, segar",90.0,30,2.3,0.4,5.8,3.2,1.4,140,33,3.7,16.0,747.4,0.2,0.2,0,5039,1000.0,0.07,1.1,6.5,10,70.0
"Daun lompong talas, segar",87.2,44,3.0,0.8,7.4,3.3,1.6,76,59,1.0,3.0,578.4,0.2,0.4,0,2584,2000.0,0.08,0.4,1.4,31,75.0
"Daun mangkokan, segar",82.0,57,3.7,0.3,11.8,0.0,2.2,474,49,4.0,0.0,0.0,0.0,0.0,0,0,5450.0,0.06,0.0,0.0,83,80.0
"Daun matel ambon, segar",77.1,71,6.8,1.6,11.5,4.6,3.0,93,95,10.2,0.0,0.0,0.0,0.0,0,0,49.0,0.08,0.0,0.0,26,100.0
"Daun melinjo, segar",70.8,104,5.0,1.3,21.3,10.3,1.6,219,82,4.2,12.0,604.8,0.4,0.6,0,823,10000.0,0.09,0.0,0.0,18,88.0
"Daun mengkudu, segar",80.9,65,4.0,1.7,11.4,3.9,2.0,296,40,6.9,0.0,0.0,0.0,0.0,0,2,4958.0,0.01,0.1,5.7,35,90.0
"Daun ndusuk, segar",56.0,166,1.7,0.5,38.8,10.7,3.0,40,20,1.8,40.0,310.0,0.2,0.7,0,14457,0.0,0.4,0.1,0.1,30,0.0
"Daun oyong, segar",93.0,22,1.0,0.1,5.3,2.0,0.6,21,44,2.0,40.0,295.5,0.1,0.2,0,855,1000.0,0.08,0.1,0.8,15,65.0
"Daun pakis, segar",86.8,39,4.5,0.4,6.9,2.0,1.4,136,159,2.3,20.0,201.9,0.2,0.3,0,1625,3292.0,0.02,0.1,0.5,3,70.0
"Daun pakis longgiho, segar",89.5,54,2.2,3.6,3.1,2.1,1.6,40,80,0.7,70.0,500.0,0.4,0.1,0,168,0.0,0.4,0.3,0.2,8,70.0
"Daun pakis wambateu, segar",86.9,53,3.4,1.2,7.2,4.8,1.3,30,100,0.3,20.0,200.0,0.2,0.3,0,191,0.0,0.7,0.2,0.3,6,70.0
"Daun paku, segar",88.8,29,3.4,0.1,6.5,4.3,1.2,13,88,1.3,19.0,434.0,0.5,0.7,0,18,0.0,0.2,0.1,11.7,10,70.0
"Daun pangi,segar",76.1,104,3.9,0.6,17.9,8.3,1.5,256,22,1.8,4.0,266.0,1.7,0.5,0,55,0.0,0.4,0.1,0.1,23,90.0
"Daun pare, segar",87.3,49,2.7,1.0,8.4,3.0,1.6,217,70,3.3,7.0,498.0,0.4,1.2,0,1800,0.0,0.4,0.2,0.6,7,0.0
"Daun pepaya, segar",75.4,87,8.0,2.0,11.9,1.5,2.7,353,63,0.8,4.0,926.6,0.2,1.5,0,5409,18250.0,0.15,0.5,1.9,14,71.0
"Daun pohpohan, segar",87.4,37,2.5,0.8,6.9,2.6,2.4,744,80,5.9,0.0,0.0,0.0,0.0,0,0,7378.0,0.03,0.0,0.0,5,69.0
"Daun selasih, segar",83.1,62,4.0,0.5,10.5,5.3,1.9,122,16,13.9,3.0,259.0,0.4,0.7,0,4112,0.0,0.5,0.1,0.2,24,53.0
"Daun semanggi, segar",84.7,45,4.4,0.5,8.5,1.9,1.9,98,90,7.0,64.0,520.7,0.5,0.3,0,64,3365.0,0.01,0.5,0.7,6,90.0
"Daun simpur, segar",86.2,53,3.2,2.5,7.6,1.6,0.9,228,194,3.5,0.0,0.0,0.0,0.0,0,0,3346.0,0.02,0.0,0.0,5,100.0
"Daun singkil, segar",80.9,68,2.0,1.0,15.2,3.3,0.9,178,86,2.1,0.0,0.0,0.0,0.0,0,0,6042.0,0.02,0.0,0.0,3,70.0
"Daun singkong, segar",84.4,50,6.2,1.1,7.1,2.4,1.2,166,99,1.3,17.0,23.1,0.1,2.0,0,3204,7052.0,0.04,0.1,1.8,10,87.0
"Daun singkong ambon, segar",58.0,144,12.7,1.2,25.2,10.2,2.9,165,54,3.9,44.0,62.2,0.2,5.4,0,8627,13000.0,0.21,1.0,4.2,22,87.0
"Daun singkong ampenan, segar",84.4,50,6.2,1.1,7.1,2.4,1.2,352,123,2.7,49.0,570.0,0.2,1.3,0,7917,0.0,0.5,0.1,1.6,10,87.0
"Daun singkong kopang, segar",81.1,74,6.3,0.7,10.7,4.6,1.2,142,115,1.7,32.0,382.0,0.2,1.5,0,3882,0.0,0.5,0.5,1.9,21,87.0
"Daun sintrong, segar",88.5,36,2.6,0.9,6.1,1.7,1.9,398,95,9.3,64.0,444.4,0.1,0.4,0,10178,8868.0,0.03,0.2,0.9,3,94.0
"Daun talas, segar",81.1,59,3.0,0.4,13.5,3.0,2.0,236,50,2.4,4.0,854.1,0.4,0.5,0,3816,5740.0,0.07,0.6,2.0,24,80.0
"Daun tespong, segar",81.0,70,2.9,0.3,13.9,2.3,1.9,155,65,2.5,72.0,0.0,0.15,0.9,0,171,2500.0,0.05,0.7,1.4,21,60.0
"Daun ubi kuning, segar",83.5,62,3.7,0.3,11.1,6.4,1.4,170,40,0.6,10.0,0.0,0.2,0.5,0,3564,0.0,0.3,0.3,1.2,4,75.0
"Daun ubi merah, segar",84.4,48,3.0,0.3,10.8,1.4,1.5,80,81,6.4,33.0,517.3,0.0,0.4,0,5453,4697.0,0.1,0.2,1.2,27,75.0
"Daun ubi putih, segar",87.5,46,2.8,0.2,8.2,4.8,1.3,120,50,0.8,10.0,0.0,0.2,0.5,0,103,0.0,0.3,0.3,0.9,8,75.0
"Daun ubi tinta, segar",85.1,55,1.7,0.1,11.9,7.6,1.2,120,40,0.6,10.0,0.0,0.2,0.5,0,516,0.0,0.2,0.0,0.0,7,75.0
"Eceng, segar",93.0,19,1.0,0.2,3.8,1.8,2.0,80,45,3.7,45.0,634.1,0.0,0.0,0,7,1000.0,0.08,0.1,0.7,50,70.0
"Gambas (oyong), segar",94.5,19,0.8,0.2,4.1,1.3,0.4,19,33,0.9,23.0,109.1,0.0,0.1,0,17,380.0,0.03,0.0,0.4,8,85.0
"Genjer, segar",90.0,35,1.7,0.2,7.7,2.5,0.4,62,33,2.1,64.0,905.8,0.0,0.0,0,0,3800.0,0.07,0.1,1.1,54,70.0
"Jagung muda / semi, segar",89.5,35,2.2,0.1,7.4,1.9,0.8,7,100,0.5,353.0,230.2,0.1,0.8,0,23,200.0,0.08,0.16,0.9,8,100.0
Jamur encik,24.8,296,9.4,1.1,62.0,0.0,2.7,5,277,5.3,2.0,0.0,0.2,3.1,0,0,0.0,1.1,0.1,0.0,0,95.0
"Jamur kuping, kering",14.9,294,16.0,0.9,64.6,46.5,3.6,51,223,6.7,174.0,726.1,0.29,5.5,0,11,0.0,0.11,0.6,2.7,0,100.0
"Jamur kuping, segar",93.7,21,3.8,0.6,0.9,5.1,1.0,3,94,1.7,17.0,33.4,0.19,0.1,0,1,0.0,0.1,0.09,0.1,5,100.0
"Jamur merang, segar",91.5,30,3.5,0.2,4.0,2.4,0.8,14,117,1.0,6.0,300.0,0.3,0.8,0,0,0.0,0.02,0.2,0.5,0,100.0
"Jamur tiram, segar",92.5,30,1.9,0.1,5.5,3.6,0.6,9,83,0.7,22.0,226.0,0.0,0.8,0,0,0.0,0.3,0.2,1.0,0,100.0
Jamur sagu,91.3,48,1.9,3.2,2.8,1.0,0.8,10,90,0.6,100.0,440.0,0.6,0.6,0,0,0.0,0.2,0.2,6.5,0,95.0
"Jantung pisang, segar",90.2,32,1.2,0.3,7.1,3.2,1.2,30,50,0.1,3.0,524.0,0.09,0.3,0,201,170.0,0.05,0.03,0.8,10,25.0
"Jengkol, segar",52.7,192,5.4,0.3,40.7,1.5,0.9,4,150,0.7,60.0,241.0,0.3,0.6,0,0,0.0,0.05,0.2,0.5,31,95.0
"Jotang, segar",89.0,34,1.9,0.3,7.1,3.5,1.7,162,41,4.0,59.0,388.5,0.3,1.2,0,2,3918.0,0.03,0.0,0.4,20,70.0
"Kabau, segar",67.2,130,6.7,0.3,25.2,2.9,0.6,4,204,0.5,1.0,397.8,0.2,0.5,0,165,0.0,0.8,0.1,0.3,16,95.0
"Kacang mekah,
polong, segar",93.6,22,1.1,1.0,3.4,1.1,0.9,63,296,1.0,2.0,69.2,0.3,0.0,0,197,116.0,0.02,0.0,0.4,0,91.0
"Kacang panjang, segar",91.8,31,2.3,0.1,5.3,2.7,0.5,60,64,0.6,30.0,213.0,0.1,0.5,0,125,0.0,0.7,0.1,0.3,46,92.0
Kacang ranti polong,88.5,37,3.1,0.2,7.9,2.5,0.3,103,126,0.8,0.0,0.0,0.0,0.0,0,0,2312.0,0.02,0.0,0.0,6,83.0
"Kalakai, segar",89.9,38,2.4,0.2,6.6,5.8,0.9,18,90,1.1,7.0,443.0,0.4,0.9,0,44,0.0,0.3,0.1,0.0,8,70.0
"Kangkung, segar",91.0,28,3.4,0.7,3.9,2.0,1.0,67,54,2.3,65.0,250.1,0.13,0.4,0,2868,5542.0,0.07,0.36,2.0,17,60.0
Kangkung tondano,88.5,43,1.8,0.2,8.4,4.3,1.1,72,9,0.7,30.0,361.0,0.3,0.4,0,2741,0.0,0.8,0.1,1.1,23,60.0
"Kapri muda, segar",86.8,45,3.3,0.2,9.0,1.8,0.7,51,85,1.0,2.0,118.4,0.09,0.7,0,72,440.0,0.2,0.1,0.9,49,80.0
Karawila,93.7,25,2.3,0.2,3.5,2.1,0.3,25,67,0.3,8.0,88.4,0.08,0.3,0,21,0.0,0.1,0.1,0.4,39,80.0
"Kecipir muda, segar",90.4,32,2.9,0.2,5.8,5.5,0.7,63,37,0.3,3.0,103.8,0.18,0.4,0,261,595.0,0.24,0.11,0.7,19,96.0
"Kecombrang, segar",90.0,34,0.9,1.0,6.7,2.6,1.4,60,16,1.0,47.0,650.6,0.0,0.0,0,0,73.0,0.0,0.02,0.8,0,100.0
"Kelawi,kluwih, segar",70.0,118,1.5,0.3,27.2,5.0,1.0,28,32,0.9,2.0,500.9,0.09,0.1,0,0,20.0,0.1,0.03,0.9,19,77.0
"Kembang turi, segar",87.4,51,1.8,0.6,9.6,5.0,0.6,23,29,0.9,22.0,275.3,0.15,0.9,0,201,105.0,0.13,0.12,0.6,41,83.0
"Kerokot, segar",93.0,26,1.7,0.4,3.8,1.0,1.1,103,39,3.6,4.0,240.5,0.23,0.9,0,0,2550.0,0.03,0.09,0.2,25,80.0
"Ketimun, segar",97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2.0,57.1,0.02,0.1,0,18,314.0,0.01,0.02,0.1,1,55.0
"Ketimun krai, segar",96.8,10,0.5,0.2,2.0,0.6,0.5,20,98,1.0,10.0,82.1,0.03,0.1,0,19,21.0,0.02,0.03,0.1,3,82.0
"Ketimun madura,
segar",97.1,9,0.5,0.1,1.9,0.7,0.4,15,102,0.6,2.0,78.9,0.02,0.1,0,25,0.0,0.02,0.02,0.1,5,89.0
"Komak, segar",74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15.0,567.0,0.2,0.6,0,5,0.0,0.2,0.19,0.1,0,80.0
Kool kembang,91.7,25,2.4,0.2,4.9,1.6,0.8,22,72,1.1,47.0,187.0,0.04,0.3,0,24,90.0,0.11,0.09,0.6,69,57.0
"Kool merah,kool putih",92.4,29,1.4,0.2,5.3,1.9,0.9,46,31,0.5,28.0,236.8,0.29,0.3,0,46,80.0,0.06,0.07,0.3,50,75.0
"Koro kerupuk, polong",67.2,128,8.3,0.7,22.1,0.0,1.7,17,12,2.7,0.0,0.0,0.0,0.0,0,0,80.0,0.11,0.0,0.0,31,68.0
"Koro wedus, polong",88.0,46,3.0,0.3,7.9,3.3,0.8,56,47,1.1,2.0,249.3,0.09,0.4,0,66,870.0,0.09,0.09,0.5,17,70.0
"Kucai, segar",86.3,45,2.2,0.3,10.3,4.8,0.9,52,50,1.1,21.0,439.5,0.11,0.5,0,2685,40.0,0.11,0.2,1.8,17,52.0
"Kucai muda (Lokio), segar",86.0,42,3.8,0.6,7.8,4.9,1.8,76,91,2.5,22.0,449.1,0.11,0.5,0,2744,500.0,0.11,0.2,1.8,59,100.0
Kulit melinjo,71.9,111,4.5,1.1,20.7,5.0,1.8,117,179,2.6,0.0,0.0,0.0,0.0,0,0,1267.0,0.07,0.0,0.0,7,100.0
"Kundur, segar",94.0,22,0.4,0.2,4.7,1.3,0.7,3,54,0.5,2.0,200.0,0.1,0.3,0,7,0.0,0.1,0.03,0.4,1,57.0
"Labu air, segar",95.0,19,0.6,0.2,3.8,0.6,0.4,12,18,0.6,2.0,168.2,0.03,0.8,0,11,70.0,0.04,0.02,0.4,10,80.0
"Labu kuning, segar",86.6,51,1.7,0.5,10.0,2.7,1.2,40,180,0.7,280.0,220.0,0.35,1.5,0,1569,0.0,0.2,0.0,0.1,2,74.0
"Labu siam, segar",92.3,30,0.6,0.1,6.7,6.2,0.3,14,25,0.5,3.0,167.1,0.16,1.0,0,48,20.0,0.02,0.0,0.6,18,83.0
"Labu waluh, segar",91.2,32,1.1,0.1,6.6,0.5,1.0,45,64,1.4,1.0,356.2,0.13,0.3,0,712,180.0,0.08,0.12,0.6,52,77.0
"Lantar, segar",91.2,34,2.2,0.3,5.5,2.9,0.8,10,58,0.4,3.0,155.0,0.2,0.4,0,38,0.0,0.3,0.07,0.4,4,0.0
"Lobak, segar",94.1,21,0.9,0.1,4.2,1.4,0.7,35,26,0.6,49.0,109.3,0.03,0.2,0,0,10.0,0.03,0.04,0.3,32,87.0
"Lumai/Leunca, segar",90.5,38,1.1,0.3,7.6,2.0,0.5,7,55,1.0,2.0,0.0,0.1,0.3,0,25,0.0,0.2,0.1,0.6,17,95.0
"Melinjo, segar",80.0,66,5.0,0.7,13.3,0.0,1.0,163,75,2.8,0.0,0.0,0.0,0.0,0,0,1000.0,0.1,0.0,0.0,10,60.0
Mostarda metan -sawi,91.4,33,2.3,0.5,4.7,1.8,1.1,60,30,3.1,20.0,100.0,0.1,0.4,0,1575,0.0,0.2,0.1,0.1,12,85.0
"Nangka muda, segar",85.4,57,2.0,0.4,11.3,8.3,0.9,45,29,0.5,1.0,246.5,0.04,0.1,0,21,25.0,0.07,0.06,0.7,9,80.0
"Paria putih, segar",94.4,19,1.0,0.4,3.6,1.3,0.6,31,65,0.9,5.0,277.7,0.03,0.8,0,197,80.0,0.18,0.04,0.4,58,80.0
"Pepare ular, segar",95.1,19,0.6,0.1,3.9,1.0,0.3,20,10,0.4,130.0,30.0,0.1,0.1,0,69,0.0,0.1,0.1,0.1,9,97.0
"Pepaya muda, segar",92.3,29,2.1,0.1,4.9,2.1,0.6,50,16,0.4,22.0,211.2,0.01,0.0,0,0,50.0,0.02,0.03,0.3,19,65.0
"Petai, segar",77.2,92,5.4,1.1,15.2,2.0,1.1,14,170,1.6,55.0,221.0,0.2,0.8,0,114,0.0,0.8,0.1,6.1,34,36.0
"Peterseli, segar",83.9,53,3.7,1.0,9.0,0.0,2.4,193,84,4.3,18.0,1125.0,0.2,1.4,0,2940,8230.0,0.11,0.29,0.7,19,95.0
"Pucuk lumai/daun
leunca, segar",91.0,33,4.5,0.4,2.8,0.0,1.3,13,75,2.9,2.0,0.0,0.2,0.6,0,0,0.0,0.5,0.1,0.0,41,70.0
"Putri malu, segar",80.2,76,3.6,0.3,14.6,7.1,1.3,119,84,3.3,1.0,631.0,0.6,1.4,0,4762,0.0,0.6,0.6,0.0,6,0.0
"Rebung, segar",93.3,25,0.8,0.1,5.3,9.7,0.5,3,5,0.5,3.0,206.0,0.1,0.4,0,10,0.0,0.2,0.07,0.5,0,28.0
"Rimbang, segar",80.8,75,1.6,0.6,15.8,10.0,1.2,55,97,0.6,20.0,234.0,0.4,0.4,0,51,0.0,0.4,0.1,1.3,38,95.0
Rumput laut,87.0,41,1.4,0.3,8.1,2.2,3.2,80,20,1.6,250.0,380.0,0.2,0.4,0,1958,0.0,0.2,0.0,0.1,7,100.0
"Sawi, segar",92.2,28,2.3,0.3,4.0,2.5,1.2,220,38,2.9,22.0,436.5,0.12,0.2,0,2042,6460.0,0.09,0.23,0.7,10,87.0
"Sawi putih / pecai, segar",96.6,9,1.0,0.1,1.7,0.8,0.6,56,42,1.1,5.0,193.1,0.05,0.1,0,862,832.0,0.05,0.18,0.4,3,79.0
"Sawi taiwan, segar",91.8,30,1.9,0.5,4.4,2.7,1.4,100,58,1.6,27.0,217.0,0.1,0.7,0,1340,0.0,0.2,0.1,0.6,33,85.0
"Sawi tanah, segar",94.9,19,1.3,0.2,2.9,2.2,1.0,92,45,1.2,17.0,145.0,0.1,0.4,0,815,0.0,0.2,0.1,0.1,36,85.0
"Selada, segar",94.8,18,1.2,0.2,2.9,1.8,0.9,22,25,0.5,19.0,186.4,0.03,0.2,0,1526,540.0,0.04,0.13,0.4,8,69.0
"Selada air, segar",93.3,17,3.1,0.2,2.2,0.7,1.2,95,152,2.4,65.0,260.7,0.11,0.2,0,1230,3727.0,0.09,0.14,0.7,56,70.0
"Seledri, segar",93.0,23,1.0,0.1,4.6,2.0,1.3,50,40,1.0,64.0,258.8,0.08,0.4,0,63,130.0,0.03,0.07,0.4,11,63.0
"Taoge, segar",90.4,34,3.7,1.2,4.3,1.1,0.4,166,74,0.8,19.0,93.3,0.16,0.4,0,41,20.0,0.09,0.15,1.1,5,100.0
"Taoge kacang kedelai,
segar",81.0,76,9.0,2.6,6.4,0.7,1.0,50,65,1.0,5.0,212.4,0.26,0.7,0,0,110.0,0.23,0.19,1.2,15,100.0
"Taoge kacang
tunggak, segar",88.0,40,5.0,0.2,5.8,2.6,1.0,57,88,1.0,2.0,226.8,0.07,0.5,0,299,0.0,0.07,0.08,0.8,15,90.0
"Tebu terubuk (lilin),
segar",91.0,30,4.6,0.4,3.0,0.8,1.0,40,80,2.0,699.0,0.0,0.2,1.1,0,12,0.0,0.08,0.2,1.2,50,20.0
"Tekokak, segar",89.0,34,2.0,0.1,7.9,4.9,1.0,50,30,2.0,3.0,333.3,0.12,0.2,0,23,750.0,0.08,0.05,0.9,8,95.0
"Tekokak, kering",12.3,302,8.3,1.7,72.6,21.2,8.1,370,180,22.2,9.0,0.0,1044.2,1.0,0,187,750.0,0.4,0.17,5.1,0,100.0
"Terong, segar",92.7,28,1.1,0.2,5.5,2.1,0.5,15,37,0.4,9.0,187.0,0.1,0.1,0,46,30.0,0.04,0.03,0.5,5,100.0
"Terong asam, segar",90.5,37,2.0,0.4,6.3,3.2,0.8,13,59,1.5,3.0,155.0,0.3,0.3,0,97,0.0,0.2,0.1,0.8,4,0.0
"Terung belanda, segar",87.3,52,2.1,1.1,8.6,1.4,1.0,16,40,1.1,0.0,0.0,0.0,0.0,0,0,8048.0,0.42,0.06,0.0,12,100.0
"Terung bengkulu,
segar",86.6,52,1.1,0.4,11.2,3.2,0.8,19,39,1.1,14.0,0.0,0.16,1.0,0,85,600.0,0.23,0.04,0.0,6,100.0
"Terong hintalo, segar",89.2,45,1.9,0.8,7.5,5.1,0.6,19,268,1.0,167.0,142.0,0.6,0.2,0,552,0.0,0.2,0.4,0.0,4,0.0
Terung panjang,91.8,25,2.1,0.1,5.3,0.5,0.7,38,24,0.7,9.0,53.7,0.09,0.2,0,83,24.0,0.15,0.06,0.7,8,100.0
"Tomat, air (sari), segar",94.0,20,1.0,0.2,3.5,0.4,1.3,7,15,0.4,10.0,225.2,0.06,0.1,0,266,600.0,0.05,0.03,0.7,10,100.0
"Tomat merah, segar",92.9,24,1.3,0.5,4.7,1.5,0.6,8,77,0.6,10.0,164.9,0.14,0.2,0,575,2083.0,0.06,0.07,0.4,34,100.0
"Tomat muda, segar",93.0,24,2.0,0.7,3.3,1.8,2.0,5,27,0.5,10.0,210.0,0.07,0.2,0,384,320.0,0.07,0.04,0.7,30,95.0
"Uceng/ bunga melinjo,
segar",79.5,82,5.8,1.3,11.7,4.8,1.7,70,266,2.4,0.0,0.0,0.0,0.0,0,0,58.0,0.11,0.15,0.0,3,89.0
"Umbut kelapa, segar",89.3,39,2.0,0.2,7.2,2.5,1.3,57,49,0.0,4.0,447.0,0.2,1.4,0,16,0.0,0.1,0.1,0.0,8,0.0
Umbut rotan,90.5,34,2.4,0.3,5.5,2.2,1.3,89,79,1.3,8.0,552.0,0.2,1.9,0,14,0.0,0.2,0.0,0.0,9,0.0
"Wortel, segar",89.9,36,1.0,0.6,7.9,1.0,0.6,45,74,1.0,70.0,245.0,0.06,0.3,0,3784,7125.0,0.04,0.04,1.0,18,80.0
"Bayam, kukus",90.7,30,1.3,0.7,5.8,1.2,1.6,239,35,5.7,15.0,431.0,0.1,0.3,0,2699,3750.0,0.02,0.1,0.9,32,100.0
"Bayam ,rebus",93.5,23,1.2,0.6,3.7,1.1,1.0,150,35,0.5,16.0,308.4,0.2,0.3,0,3282,2864.0,0.02,0.1,0.9,19,100.0
"Buncis, rebus",90.6,30,2.2,0.2,6.4,1.5,0.6,107,47,0.5,7.0,138.9,0.1,0.3,0,1,402.0,0.01,0.29,2.0,8,100.0
"Daun kacang panjang, kukus",87.2,40,3.7,0.3,8.0,1.8,0.8,111,66,3.7,6.0,419.5,0.2,0.3,0,2645,5781.0,0.15,0.2,0.9,11,100.0
"Daun katuk, rebus",83.3,53,5.3,0.9,9.1,1.2,1.4,185,102,3.1,16.0,291.3,0.3,1.3,0,11131,9000.0,0.0,0.3,2.2,66,100.0
"Daun kelor, rebus",80.3,61,6.1,0.9,10.0,0.9,2.6,255,36,2.1,45.0,181.2,0.1,0.6,0,3972,6071.0,0.1,0.1,4.0,13,100.0
"Daun mengkudu, kukus",81.6,63,3.8,1.5,11.5,2.4,1.6,300,43,6.0,0.0,0.0,0.0,0.0,0,2,4900.0,0.08,0.1,5.2,11,100.0
"Daun singkong, rebus",90.5,31,3.7,0.6,4.8,1.6,0.4,160,50,2.6,13.0,14.0,0.1,2.0,0,3897,4150.0,0.02,0.1,1.7,34,100.0
"Daun talas, rebus",91.6,27,1.3,0.2,5.9,1.6,1.0,119,41,1.4,3.0,519.4,0.5,0.5,0,4641,2682.0,0.0,0.6,1.9,7,100.0
"Daun ubi merah, kukus",82.5,56,3.1,0.3,13.0,1.5,1.1,78,52,4.3,28.0,472.8,0.1,0.4,0,5277,5397.0,0.0,0.2,1.1,14,100.0
"Kacang panjang, kukus",88.2,39,3.0,0.6,7.6,1.7,0.6,100,91,1.2,28.0,199.0,0.11,0.5,0,131,205.0,0.02,0.1,0.3,20,100.0
"Kacang panjang, rebus",90.9,30,2.3,0.4,5.8,1.4,0.6,71,68,0.8,24.0,114.5,0.1,0.4,0,128,162.0,0.0,0.07,0.2,15,100.0
"Kangkung, kukus",90.4,30,3.2,0.7,4.7,1.8,1.0,70,49,4.4,45.0,184.9,0.1,0.3,0,2370,5837.0,0.03,0.28,1.4,11,100.0
"Kangkung, rebus",93.0,22,2.5,0.6,3.1,1.2,0.8,50,51,3.5,31.0,98.0,0.1,0.3,0,2370,4325.0,0.01,0.22,1.2,13,100.0
"Paria putih, kukus",95.0,16,0.8,0.2,3.4,1.2,0.6,16,33,0.5,4.0,236.0,0.0,0.7,0,187,65.0,0.15,0.04,0.3,35,100.0
"Selada, rebus",93.5,19,2.7,0.2,2.9,0.7,0.7,83,74,1.4,24.0,160.7,0.05,0.2,0,2499,3700.0,0.08,0.2,0.6,27,100.0
"Taoge, goreng",79.2,88,3.2,2.1,14.0,0.7,1.5,168,50,5.7,0.0,0.0,0.0,0.0,2,0,613.0,0.05,0.0,0.0,0,100.0
"Taoge, seduh",91.9,28,3.0,0.8,4.0,1.0,0.3,52,73,0.5,18.0,58.3,0.19,0.4,0,46,18.0,0.1,0.0,0.9,2,87.0
"Terung panjang, kukus",92.7,23,1.8,0.1,4.9,0.4,0.5,40,13,0.5,9.0,57.0,67.1,0.2,0,99,20.0,0.0,0.07,0.7,1,100.0
"Wortel, rebus",92.1,28,0.7,0.5,6.3,0.8,0.4,46,28,0.6,41.0,117.3,0.1,0.2,0,3824,5396.0,0.01,0.03,0.7,12,100.0
"Wortel, kukus",89.5,37,1.0,0.6,8.3,1.1,0.6,44,30,0.6,43.0,122.5,0.11,0.3,0,3994,7150.0,0.02,0.03,0.8,14,100.0
"Asinan Bogor, sayuran",78.0,98,3.9,2.6,14.8,0.5,0.7,314,17,1.2,483.0,0.0,0.0,0.0,10,0,146.0,0.28,0.0,0.0,5,100.0
"Anyang, sayur",76.9,126,3.4,7.9,10.3,5.4,1.5,180,1,2.9,290.0,181.0,0.3,1.2,0,3263,0.0,0.2,0.0,0.0,0,100.0
"Ares, sayur",77.7,113,0.9,7.2,11.2,4.7,3.0,63,5,1.5,1413.0,1030.0,0.7,3.8,0,6,0.0,0.1,0.0,0.5,0,100.0
Arwan sirsir,59.0,277,2.4,25.0,10.7,4.6,2.9,120,40,2.4,240.0,320.0,0.2,0.9,0,1578,0.0,0.1,0.2,0.0,11,100.0
Beberuk,89.1,65,1.1,5.2,3.5,3.1,1.1,179,72,8.3,53.0,427.0,0.4,0.2,0,44,0.0,0.3,0.0,4.4,0,100.0
Botok lamtoro,63.9,186,11.7,9.7,13.0,2.1,2.2,771,322,26.0,0.0,0.0,0.0,0.0,18,0,179.0,0.27,0.0,0.0,2,100.0
Buntil daun talas,74.5,141,4.4,10.2,8.0,1.8,3.0,149,121,14.5,0.0,0.0,0.0,0.0,13,0,8610.0,0.25,0.0,0.0,1,100.0
Cammetutu,79.6,102,3.2,6.0,8.7,4.3,2.5,41,93,0.5,443.0,518.0,0.3,0.7,0,1123,0.0,0.3,0.4,0.4,19,100.0
"Cap cai, sayur",82.7,97,5.8,6.3,4.2,0.6,1.0,287,89,1.8,405.0,0.0,0.0,0.0,45,0,1640.0,0.21,0.0,0.0,1,100.0
Gado-gado,68.5,137,6.1,3.2,21.0,1.1,1.5,301,135,7.5,0.0,0.0,0.0,0.0,3,0,5929.0,0.1,0.0,0.0,1,100.0
"Gudeg, sayur",69.2,160,3.3,9.2,16.0,2.3,2.1,62,55,12.8,0.0,0.0,0.0,0.0,0,0,166.0,0.15,0.0,0.0,0,100.0
Gulai pakis,76.1,143,4.0,11.4,6.0,1.4,2.6,548,124,1.7,0.0,0.0,0.0,0.0,11,0,9802.0,0.35,0.0,0.0,1,100.0
Gulai pliek,71.9,176,7.3,14.9,3.2,0.0,2.7,39,54,1.4,257.0,285.0,0.3,0.6,0,0,0.0,0.0,0.0,0.0,0,100.0
